Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.2863,-0.2863,-0.2863,-0.2863,-0.2702,-0.3756,-0.396,-0.3848,-0.3465,-0.3672,-0.4111,-0.4143,-0.3249,-0.2913,-0.1634,-0.1412,-0.2062,-0.1756,-0.2564,-0.2564,-0.2564,-0.2564,-0.2564,-0.2564,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-21.3118,-31.0552,-35.165,-27.6002,-33.6557,-34.4401,-35.0607,-13.5537,-30.941,-34.0952,-40.282,-33.4314,-24.9175,-40.0641,-40.7342,-42.3109,-44.5666,-28.0306,-50.0841,-48.1942,-40.4766,-39.2648,-40.279,-54.3911,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.686,-1.686,-1.686,-1.686,-1.686,-1.686,-1.686,-1.638,-1.632,-1.622,-1.618,-1.616,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,-1.626,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-91.8923,-92.9375,-94.5302,-105.0007,-102.8712,-98.5283,-92.2591,-87.6395,-77.7159,-75.4566,-79.1079,-78.2631,-82.1446,-75.6197,-69.894,-64.3658,-59.7453,-62.9858,-62.4023,-57.0184,-58.9407,-58.017,-52.4405,-50.7078,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,-0.922,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.7857,33.3724,32.9588,32.5457,38.7395,44.9335,51.0971,48.9248,46.7522,42.1087,37.8072,26.0712,14.4924,2.9623,6.5675,10.4249,14.0728,17.837,21.574,19.1251,15.9636,4.5771,3.9465,3.9465,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2438,1.2438,2.4875,3.7313,4.9751,6.2189,8.34,9.9998,11.6582,13.3165,14.9749,14.5107,14.5107,14.5107,18.3299,21.8309,25.3319,28.833,28.5149,34.6665,40.4568,45.0033,46.8463,46.8463,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-16.781,-16.781,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,-17.006,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-58.7105,-58.1636,-55.9283,-55.3399,-56.5464,-54.4362,-55.5279,-56.2228,-57.137,-56.7135,-54.1697,-52.9408,-47.3109,-42.8481,-43.5957,-44.6998,-45.8928,-41.8055,-41.6009,-41.6009,-41.6009,-41.6009,-41.6009,-41.6009,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,0.1339,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,-10.367,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-35.147,-23.6085,-12.1184,-0.5799,11.007,11.007,11.007,11.007,11.007,11.007,11.007,11.007,11.007,11.007,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-13.0746,-14.0535,-12.357,-11.917,-8.1953,-7.6083,-8.4363,-7.958,-8.3402,-4.9157,-3.1322,-3.5301,-4.8945,-3.6158,0.3455,-0.9422,-2.8055,-4.2994,-1.891,-3.6043,-0.8784,0.5442,4.2429,3.2267,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0587,-3.0435,-3.0284,-3.0132,-2.9981,-2.9829,-2.9678,-2.9526,-2.9375,-2.9223,-3.0372,-3.2512,-3.2512,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.538,7.538,7.538,7.538,7.538,8.117,7.806,7.589,7.248,7.05,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,-20.504,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0253,0.0014,0.0022,0.0035,0.0057,0.0057,0.0106,0.0198,0.022,0.0184,0.0168,0.0079,0.0079,0.0027,0.0025,0.0006,-0.0009,-0.0002,0.0089,0.0018,-0.0057,-0.0089,-0.0078,-0.0078,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-10.2372,-8.0766,-7.1994,-6.5376,-6.0994,-5.3074,-4.848,-6.5472,-7.1178,-7.9179,-11.1567,-11.1177,-10.5222,-9.8089,-8.9107,-7.8985,-6.9937,-6.3464,-5.269,-5.5909,-5.6327,-5.8835,-6.2878,-5.7299,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.615,-0.591,-0.6101,-0.5881,-0.6317,-0.5855,-0.5035,-0.4102,-0.4269,-0.4389,-0.2207,-0.3182,-0.4131,-0.5768,-0.5079,-0.4613,-0.5652,-0.4799,-0.3425,-0.4625,-0.5471,-0.7062,-0.7477,-0.6781,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,34.3423,..
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562,..
